STUDYID,Theorystandardized_corrected,IVConstruct,IVVariableLabel,IVMean,IVSD,Stakeholdergroup,Stakeholdergroupsubcategory,PerformanceVariableLabel,PerformanceMean,PerformanceSD,PerformanceIVCorrelation,PerformanceIVCorrelation_corrected,Nofobs,Noffirms
a94amj,Competitive advantages,Business strategy,Business strategy,0.69,0.47,EMP,EMP1,Turnover,0.05,0.06,-0.27,0.27,28,28
a94amj,Competitive advantages,Business strategy,Business strategy,0.69,0.47,INV,INV1,Labor hours,2.3,0.98,0.07,-0.07,28,28
a94amj,Competitive advantages,Business strategy,Business strategy,0.69,0.47,INV,INV1,Scrap Rate,0.22,0.22,-0.08,-0.08,28,28
a94amj,Resource-based view,Firm age,Age,20.44,20.01,EMP,EMP1,Turnover,0.05,0.06,-0.1,0.1,28,28
a94amj,Resource-based view,Firm age,Age,20.44,20.01,INV,INV1,Labor hours,2.3,0.98,-0.65,0.65,28,28
a94amj,Resource-based view,Firm age,Age,20.44,20.01,INV,INV1,Scrap Rate,0.22,0.22,-0.22,-0.22,28,28
a94amj,Strategic HRM theories: Configurational view,Human resource system,Human resource system,0.47,0.51,EMP,EMP1,Turnover,0.05,0.06,-0.37,0.37,28,28
a94amj,Strategic HRM theories: Configurational view,Human resource system,Human resource system,0.47,0.51,EMP,EMP3,Unionization,0.47,0.51,0.27,0.27,28,28
a94amj,Strategic HRM theories: Configurational view,Human resource system,Human resource system,0.47,0.51,INV,INV1,Labor hours,2.3,0.98,-0.13,0.13,28,28
a94amj,Strategic HRM theories: Configurational view,Commitment human resource systems (as opposed to control),Human resource systems,0.47,0.51,INV,INV1,Scrap Rate,0.22,0.22,0.14,0.14,28,28
adg08hrm,Strategic HRM theories: Configurational view,Strategic HRM practices,Results-oriented appraisal,2.7,0.82,CUS,CUS4,Product/service performance,3.48,0.8,0.3,0.3,465,465
adg08hrm,Strategic HRM theories: Configurational view,Strategic HRM practices,Results-oriented appraisal,2.7,0.82,EMP,EMP3,Employment Security,2.41,0.74,0.13,0.13,465,465
adg08hrm,Strategic HRM theories: Configurational view,Strategic HRM practices,Results-oriented appraisal,2.7,0.82,EMP,EMP3,Internal career opportunities,2.64,0.57,0.42,0.42,465,465
